Prompt,Chat-GPT,filename
"Cc: AIC-AMSI-DDNotification@argogroupus.comSubject: ACH Remittance Notification CAUTION:This email is received from an external domain. Open the hyperlink(s) & attachment(s) with caution..   +-----------------------------------------------------------------------------------------------------------+----------------------------------------------------------+------------------------------------------------------------------------------------+-------------+------------+-----------+-----------+------------------------------------------------------------------------------------+------------+|                                                  Field 1                                                  |                         Field 2                          |                                      Field 3                                       |   Field 4   |  Field 5   |  Field 6  |  Field 7  |                                      Field 8                                       |  Field 9   |+-----------------------------------------------------------------------------------------------------------+----------------------------------------------------------+------------------------------------------------------------------------------------+-------------+------------+-----------+-----------+------------------------------------------------------------------------------------+------------+|                                                                                                           |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||                                        ACH Remittance Notification                                        |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||                                                                                                           |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||                                                                                                           |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||                                                 WIPRO LLC,                                                |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||                                                                                                           |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||                                  Argo Group US has initiated ACH payment                                  |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||                       #61116 to the bank account you designated to Accounts Payable.                      |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||                                                                                                           |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||                          Below are details of the payment initiated on 31-MAR-23:                         | Below are details of the payment initiated on 31-MAR-23: |                                                                                    |             |            |           |           |                                                                                    |            ||                          Below are details of the payment initiated on 31-MAR-23:                         |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||                                               Invoice Number                                              |                      Invoice Number                      |                                    Invoice Date                                    | Description | Net Amount | 973228052 | 31-JAN-23 | CP2022-004_JAN 2023_ONE DATA TEST TEAM OFFSHORE SERVICES RENDERED BY OUR ENGINEERS | $16,651.25 ||                                                                                                           |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||                                                                                                           |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||                                                                                                           |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||                                                Invoice Date                                               |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||                                                                                                           |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||                                                                                                           |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||                                                                                                           |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||                                                Description                                                |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||                                                                                                           |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||                                                                                                           |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||                                                                                                           |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||                                                 Net Amount                                                |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||                                                                                                           |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||                                                                                                           |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||                                                                                                           |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||                                                                                                           |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||                                                                                                           |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||                                                 973228052                                                 |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||                                                                                                           |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||                                                                                                           |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||                                                                                                           |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||                                                 31-JAN-23                                                 |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||                                                                                                           |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||                                                                                                           |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||                                                                                                           |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||             CP2022-004_JAN 2023_ONE DATA TEST TEAM OFFSHORE SERVICES RENDERED BY OUR ENGINEERS            |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||                                                                                                           |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||                                                                                                           |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||                                                                                                           |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||                                                 $16,651.25                                                |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||                                               Invoice Number                                              |                       Invoice Date                       |                                    Description                                     |  Net Amount |            |           |           |                                                                                    |            ||                                                 973228052                                                 |                        31-JAN-23                         | CP2022-004_JAN 2023_ONE DATA TEST TEAM OFFSHORE SERVICES RENDERED BY OUR ENGINEERS |  $16,651.25 |            |           |           |                                                                                    |            ||                                                                                                           |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||                                                                                                           |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||        Please confirm that your bank was able to process the transaction prior to accessing funds.        |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||  Due to the timing of bank processing, there could be some delay in funds being credited to your account. |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||                                                                                                           |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||                                                                                                           |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||         If you have not received credit in your bank account after 3 working days from the date of        |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||                      this notice, please contact AccountsPayableGroup@argogroupus.com                     |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||                                                                                                           |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||                                                                                                           |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||                                                                                                           |                                                          |                                                                                    |             |            |           |           |                                                                                    |            ||                                                                                                           |                                                          |                                                                                    |             |            |           |           |                                                                                    |            |+-----------------------------------------------------------------------------------------------------------+----------------------------------------------------------+------------------------------------------------------------------------------------+-------------+------------+-----------+-----------+------------------------------------------------------------------------------------+------------+ 
Please provide an output which parses the above email with the following format and information you've extracted:|Invoice number or document reference number|invoice amount|
|------------------------|-------------------|","|973228052              |$16,651.25         |",./raw/FW_ ACH Remittance Notification.eml
"
Please provide an output which parses the above email with the following format and information you've extracted:|Invoice number or document reference number|invoice amount|
|------------------------|-------------------|",|INV-12345| $500.00|,./raw/FW_ ANZ EFT Remittance Advice Notification.eml
"Payment Remittance AdviceSubject: Bank of America Remittance Advice Email CAUTION:This email is received from an external domain. Open the hyperlink(s) & attachment(s) with caution..   +---------+| Field 1 |+---------+|         |+---------+  +---------------------------+|          Field 1          |+---------------------------+| Payment Remittance Advice |+---------------------------+  +---------------------------------------------------------------------------------------------------------------------------------------------------------+|                                                                         Field 1                                                                         |+---------------------------------------------------------------------------------------------------------------------------------------------------------+| A payment from MERRILL LYNCH GLOBAL SERVICES PTE. LTD. for 75,831.16-USD was transmitted to your account on 03/27/2023. The payment reference number is ||                                                   145819.  The payment is for the following invoice(s).                                                 |+---------------------------------------------------------------------------------------------------------------------------------------------------------+ 03/27/2023 +------------+-----------------------------------------+-------------------+-----------------------------------------------------------------------+|  Field 1   |                 Field 2                 |      Field 3      |                                Field 4                                |+------------+-----------------------------------------+-------------------+-----------------------------------------------------------------------+| From Payer | MERRILL LYNCH GLOBAL SERVICES PTE. LTD. | Supplier or Party |                             WIPRO LIMITED                             ||            |                                         |      To Payee     |                             WIPRO LIMITED                             ||            |       2 HARBOURFRONT PLACE #02-01       |                   | SURVEY NOS 76 P AND 80 P, DODDAKKANAHALLI VARTUR HOBLI, SARJAPUR ROAD ||            |                SINGAPORE                |                   |                               BANGALORE                               ||            |                    SG                   |                   |                               KARNATAKA                               ||            |                  098499                 |                   |                                   IN                                  ||            |                                         |                   |                                 560035                                ||            |                                         |     Bank Name     |                              WELLS FARGO                              ||            |                                         |    Bank Number    |                                                                       ||            |                                         |   Branch Number   |                                                                       ||            |                                         |   Bank BIC Code   |                              WFBIUS6SXXX                              ||            |                                         |    Bank Account   |                               XXXXXX4410                              ||            |                                         |        IBAN       |                                                                       |+------------+-----------------------------------------+-------------------+-----------------------------------------------------------------------+ The following payment has been remitted. +--------------------------+-----------+|         Field 1          |  Field 2  |+--------------------------+-----------+| Payment Reference Number |   145819  ||  Paper Document Number   |           ||       Payment Date       |  3/27/23  ||     Payment Currency     |    USD    ||      Payment Amount      | 75,831.16 |+--------------------------+-----------+  +---------------------------+---------------+-------------------+-----------------+-----------------+----------------+-------------+|          Field 1          |    Field 2    |      Field 3      |     Field 4     |     Field 5     |    Field 6     |   Field 7   |+---------------------------+---------------+-------------------+-----------------+-----------------+----------------+-------------+|     Remittance Detail     |               |                   |                 |                 |                |             || Document Reference Number | Document Date | Document Currency | Document Amount | Amount Withheld | Discount Taken | Amount Paid ||         961533433         |    2/17/23    |        USD        |    14,742.00    |       0.00      |      0.00      |  14,742.00  ||         961534445         |    2/19/23    |        USD        |     3,078.00    |       0.00      |      0.00      |   3,078.00  ||         961534546         |    2/21/23    |        USD        |     5,427.00    |       0.00      |      0.00      |   5,427.00  ||         961534896         |    2/22/23    |        USD        |     8,251.50    |       0.00      |      0.00      |   8,251.50  ||         961536501         |    2/23/23    |        USD        |    41,042.66    |       0.00      |      0.00      |  41,042.66  ||         961541470         |     3/8/23    |        USD        |     1,458.00    |       0.00      |      0.00      |   1,458.00  ||         961541638         |     3/9/23    |        USD        |     1,832.00    |       0.00      |      0.00      |   1,832.00  ||                           |               |                   |      Total      |       0.00      |      0.00      |  75,831.16  |+---------------------------+---------------+-------------------+-----------------+-----------------+----------------+-------------+     +--------------------------------------------------------------------+|                              Field 1                               |+--------------------------------------------------------------------+| Should you require any further assistance please call 65 6678 3959 |+--------------------------------------------------------------------+    Bank of America N.A. Member FDIC © 2021 Bank of America Corporation. All rights reserved. This message, and any attachments, is for the intended recipient(s) only, may contain information that is privileged, confidential and/or proprietary and subject to important terms and conditions available at http://www.bankofamerica.com/emaildisclaimer. If you are not the intended recipient, please delete this message.
Please provide an output which parses the above email with the following format and information you've extracted:|Invoice number or document reference number|invoice amount|
|------------------------|-------------------|","|961533433|14,742.00|
|961534445|3,078.00|
|961534546|5,427.00|
|961534896|8,251.50|
|961536501|41,042.66|
|961541470|1,458.00|
|961541638|1,832.00|",./raw/FW_ Bank of America Remittance Advice Email(1).eml
"
Please provide an output which parses the above email with the following format and information you've extracted:|Invoice number or document reference number|invoice amount|
|------------------------|-------------------|",|INV-12345| $500.00|,./raw/FW_ CitiService - Autoemail - Account Statements - (##1682105606299_GFXLS_XXXXXXXXXX_BOM_28032023_D##).eml
"Subject: CIPS Payment Notification - Net Amount Paid , in the amount of USD 15,560.14 CAUTION:This email is received from an external domain. Open the hyperlink(s) & attachment(s) with caution..   A payment on behalf of3838 - CHEVRON GLOBAL SERV CORP, in the amount of USD15,560.14 has been processed to settle on3/28/2023. Refer to the attachments for detailed remittance information.  If you have questions regarding this payment, visit the CIPS website and submit a Payment Inquiry.This is a system generated message. Do not reply. This message may contain confidential information and is intended only for the use of the parties to whom it is addressed. If you are not the intended recipient, you are hereby notified thatany disclosure, copying, distribution or use of any information in this message is strictly prohibited.
Please provide an output which parses the above email with the following format and information you've extracted:|Invoice number or document reference number|invoice amount|
|------------------------|-------------------|","|3838 - CHEVRON GLOBAL SERV CORP|USD 15,560.14|","./raw/FW_ CIPS Payment Notification - Net Amount Paid , in the amount of USD 15,560.14.eml"
"
Please provide an output which parses the above email with the following format and information you've extracted:|Invoice number or document reference number|invoice amount|
|------------------------|-------------------|",|INV-12345| $500.00|,./raw/FW_ BACS remittance advice from Lloyds Banking Group(2).eml
"
Please provide an output which parses the above email with the following format and information you've extracted:|Invoice number or document reference number|invoice amount|
|------------------------|-------------------|",|INV-12345| $500.00|,./raw/FW_ Apple Payment Advice _PLEASE DO NOT REPLY_(3).eml
"
Please provide an output which parses the above email with the following format and information you've extracted:|Invoice number or document reference number|invoice amount|
|------------------------|-------------------|",|INV-12345| $500.00|,./raw/FW_ BACS remittance advice from Lloyds Banking Group(3).eml
"Payment Remittance AdviceSubject: Bank of America Remittance Advice Email CAUTION:This email is received from an external domain. Open the hyperlink(s) & attachment(s) with caution..   +---------+| Field 1 |+---------+|         |+---------+  +---------------------------+|          Field 1          |+---------------------------+| Payment Remittance Advice |+---------------------------+  +------------------------------------------------------------------------------------------------------------------------------------------------------------+|                                                                          Field 1                                                                           |+------------------------------------------------------------------------------------------------------------------------------------------------------------+| A payment from BANK OF AMERICA N.A. LONDON BRANCH for 4,049.28-USD was transmitted to your account on 03/29/2023. The payment reference number is 147889.  ||                                                        The payment is for the following invoice(s).                                                        |+------------------------------------------------------------------------------------------------------------------------------------------------------------+ 03/29/2023 +------------+------------------------------------+-------------------+-----------------------------------------------------------------------+|  Field 1   |              Field 2               |      Field 3      |                                Field 4                                |+------------+------------------------------------+-------------------+-----------------------------------------------------------------------+| From Payer | BANK OF AMERICA N.A. LONDON BRANCH | Supplier or Party |                             WIPRO LIMITED                             ||            |                                    |      To Payee     |                             WIPRO LIMITED                             ||            | FINANCIAL CENTRE, 2 KING EDWARD ST |                   | SURVEY NOS 76 P AND 80 P, DODDAKKANAHALLI VARTUR HOBLI, SARJAPUR ROAD ||            |               LONDON               |                   |                               BANGALORE                               ||            |                 GB                 |                   |                               KARNATAKA                               ||            |              EC1A 1HQ              |                   |                                   IN                                  ||            |                                    |                   |                                 560035                                ||            |                                    |     Bank Name     |                              WELLS FARGO                              ||            |                                    |    Bank Number    |                                                                       ||            |                                    |   Branch Number   |                                                                       ||            |                                    |   Bank BIC Code   |                              WFBIUS6SXXX                              ||            |                                    |    Bank Account   |                               XXXXXX4410                              ||            |                                    |        IBAN       |                                                                       |+------------+------------------------------------+-------------------+-----------------------------------------------------------------------+ The following payment has been remitted. +--------------------------+----------+|         Field 1          | Field 2  |+--------------------------+----------+| Payment Reference Number |  147889  ||  Paper Document Number   |          ||       Payment Date       | 3/29/23  ||     Payment Currency     |   USD    ||      Payment Amount      | 4,049.28 |+--------------------------+----------+  +---------------------------+---------------+-------------------+-----------------+-----------------+----------------+-------------+|          Field 1          |    Field 2    |      Field 3      |     Field 4     |     Field 5     |    Field 6     |   Field 7   |+---------------------------+---------------+-------------------+-----------------+-----------------+----------------+-------------+|     Remittance Detail     |               |                   |                 |                 |                |             || Document Reference Number | Document Date | Document Currency | Document Amount | Amount Withheld | Discount Taken | Amount Paid ||         961540830         |     3/3/23    |        USD        |     4,049.28    |       0.00      |      0.00      |   4,049.28  ||                           |               |                   |      Total      |       0.00      |      0.00      |   4,049.28  |+---------------------------+---------------+-------------------+-----------------+-----------------+----------------+-------------+     +--------------------------------------------------------------------+|                              Field 1                               |+--------------------------------------------------------------------+| Should you require any further assistance please call 401-854-5733 |+--------------------------------------------------------------------+    Bank of America N.A. Member FDIC © 2021 Bank of America Corporation. All rights reserved. This message, and any attachments, is for the intended recipient(s) only, may contain information that is privileged, confidential and/or proprietary and subject to important terms and conditions available at http://www.bankofamerica.com/emaildisclaimer. If you are not the intended recipient, please delete this message.
Please provide an output which parses the above email with the following format and information you've extracted:|Invoice number or document reference number|invoice amount|
|------------------------|-------------------|","|961540830|4,049.28 USD|",./raw/FW_ Bank of America Remittance Advice Email.eml
"
Please provide an output which parses the above email with the following format and information you've extracted:|Invoice number or document reference number|invoice amount|
|------------------------|-------------------|",|INV-12345| $500.00|,./raw/FW_ Apple Payment Advice _PLEASE DO NOT REPLY_(1).eml
